Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source,Substance Name,SMILES,Data Quality,SD,Measurements
"2,6,8-triaminopurine",,,165.16,25,0.496299806,0.030199517,-1.52,0.498775226,"Sci Data 6, 143 (2019) - G1","2,6,8-triaminopurine",NC1=NC2=C([NH]1)N=C(N)N=C2N,G1,0,1
"2,6-demethyl-kni-727",,,527.687,25,0.007804454,0.000147911,-3.83,0.007805063,"Sci Data 6, 143 (2019) - G1","2,6-demethyl-kni-727",CC(C)(C)NC(=O)C1N(CSC1(C)C)C(=O)C(O)C(CC2=CC=CC=C2)NC(=O)COC3=CC=CC=C3,G1,0,1
"2,6-di-sec-butylphenol",,,206.329,25,0.000179995,8.72369E-06,-5.0593,0.000179995,"Sci Data 6, 143 (2019) - G1","2,6-di-sec-butylphenol",CC[C@@H](C)c1cccc([C@@H](C)CC)c1O,G1,0,1
"2,6-di-t-butyl-p-tolyl methylcarbamate",,,277.408,25,0.000700029,2.52348E-05,-4.598,0.000700034,"Sci Data 6, 143 (2019) - G1","2,6-di-t-butyl-p-tolyl methylcarbamate",CNC(=O)Oc1c(cc(C)cc1C(C)(C)C)C(C)(C)C,G1,0,1
"2,6-di-tert-butyl-4-(hydroxymethyl)phenol",,,236.355,25,0.002294947,9.70997E-05,-4.012782104,0.002295,"Sci Data 6, 143 (2019) - G1","2,6-di-tert-butyl-4-(hydroxymethyl)phenol",CC(C)(C)c1cc(CO)cc(c1O)C(C)(C)C,G1,0,1
"2,6-di-tert-butyl-4-nonylphenol",,,349.656,25,3.763E-05,1.0762E-06,-5.968106767,3.763E-05,"Sci Data 6, 143 (2019) - G1","2,6-di-tert-butyl-4-nonylphenol",[O-][N+](=O)c1ncn(CC(=O)Nc2cc(ccc2Cl)C(F)(F)F)n1,G1,0,1
"2,6-diamino-1,4-dihydropyrimidin-4-one",,,126.119,25,0.525226803,0.041865223,-1.378146596,0.528,"Sci Data 6, 143 (2019) - G1","2,6-diamino-1,4-dihydropyrimidin-4-one",NC1=CC(=O)N=C(N)N1,G1,0,1
"2,6-diaminohexanoic acid hydrochloride",,,182.651,25,33.33333334,2.73746106,0.43734795,50.00000001,"Sci Data 6, 143 (2019) - G1","2,6-diaminohexanoic acid hydrochloride",[Cl-].NCCCC[C@H](N)C(O)=O.[H+],G1,0,1
"2,6-diaminopurine",,,150.145,25,0.237398865,0.015848932,-1.8,0.237963788,"Sci Data 6, 143 (2019) - G1","2,6-diaminopurine",NC1=NC2=C(N=C[NH]2)C(=N1)N,G1,0,1
"2,6-diaminopyridine",,,109.132,25,8.321816128,0.831763771,-0.08,9.077204387,"Sci Data 6, 143 (2019) - G1","2,6-diaminopyridine",NC1=NC(=CC=C1)N,G1,0,1
"2,6-dibromoquinonechloroimide",,,299.349,25,0.005879661,0.000196426,-3.7068,0.005880007,"Sci Data 6, 143 (2019) - G1","2,6-dibromoquinonechloroimide",ClN=C1C=C(Br)C(=O)C(=C1)Br,G1,0,1
"2,6-dichloro-4-(trifluoromethyl)aniline",,,230.016,25,0.005889653,0.000256069,-3.591642752,0.00589,"Sci Data 6, 143 (2019) - G1","2,6-dichloro-4-(trifluoromethyl)aniline",Nc1c(Cl)cc(cc1Cl)C(F)(F)F,G1,0,1
"2,6-dichloro-4-nitroaniline",,,207.016,25,0.000700005,3.38143E-05,-4.4709,0.000700009,"Sci Data 6, 143 (2019) - G1","2,6-dichloro-4-nitroaniline",Nc1c(Cl)cc(cc1Cl)[N+]([O-])=O,G1,0,1
"2,6-dichlorobenzamide",,,190.029,25,0.272230005,0.014364814,-1.8427,0.27297312,"Sci Data 6, 143 (2019) - G1","2,6-dichlorobenzamide",NC(=O)c1c(Cl)cccc1Cl,G1,0,1
"2,6-dichlorobenzoic acid",,,191.013,25,1.393378182,0.07397756,-1.1309,1.413067557,"Sci Data 6, 143 (2019) - G1","2,6-dichlorobenzoic acid",OC(=O)c1c(Cl)cccc1Cl,G1,0,1
"2,6-dichlorobenzyl alcohol",,,177.03,25,0.139810328,0.007908607,-2.1019,0.140006071,"Sci Data 6, 143 (2019) - G1","2,6-dichlorobenzyl alcohol",OCc1c(Cl)cccc1Cl,G1,0,1
"2,6-dichlorodiphenyl ether",,,239.101,25,0.000208008,8.69961E-06,-5.0605,0.000208009,"Sci Data 6, 143 (2019) - G1","2,6-dichlorodiphenyl ether",Clc1cccc(Cl)c1Oc2ccccc2,G1,0,1
"2,6-dichlorophenoxyacetic  acid",,,221.039,25,0.15623914,0.007079458,-2.15,0.156483628,"Sci Data 6, 143 (2019) - G1","2,6-dichlorophenoxyacetic  acid",OC(=O)COC1=C(Cl)C=CC=C1Cl,G1,0,1
"2,6-diethylaniline",,,149.237,25,0.066955403,0.004489521,-2.3478,0.067000263,"Sci Data 6, 143 (2019) - G1","2,6-diethylaniline",CCc1cccc(CC)c1N,G1,0,1
"2,6-dihydroxy-anthraquinone",,,240.214,25,3.10026E-05,1.29062E-06,-5.8892,3.10026E-05,"Sci Data 6, 143 (2019) - G1","2,6-dihydroxy-anthraquinone",Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,G1,0,1
"2,6-dihydroxybenzoic acid",,,154.121,25,0.946955664,0.062029746,-1.2074,0.956008642,"Sci Data 6, 143 (2019) - G1","2,6-dihydroxybenzoic acid",OC(=O)c1c(O)cccc1O,G1,0,1
"2,6-dihydroxynaphthalene",,,160.172,25,0.099805146,0.006237348,-2.205,0.099904856,"Sci Data 6, 143 (2019) - G1","2,6-dihydroxynaphthalene",Oc1ccc2cc(O)ccc2c1,G1,0,1
"2,6-dimethoxyphenol",,,154.165,25,1.690752962,0.111557815,-0.9525,1.719831057,"Sci Data 6, 143 (2019) - G1","2,6-dimethoxyphenol",COc1cccc(OC)c1O,G1,0,1
"2,6-dimethyl-1,3-dioxan-4-ol acetate",,,174.196,25,50.00219772,5.741164622,0.759,100.0087913,"Sci Data 6, 143 (2019) - G1","2,6-dimethyl-1,3-dioxan-4-ol acetate",CC1CC(OC(C)O1)OC(C)=O,G1,0,1
"2,6-dimethyl-4-pyrimidinamine",,,123.159,25,0.63590994,0.051963692,-1.2843,0.639979634,"Sci Data 6, 143 (2019) - G1","2,6-dimethyl-4-pyrimidinamine",Cc1cc(N)nc(C)n1,G1,0,1
"2,6-dimethyl-n-nitrosomorpholine",,,144.174,25,11.03124344,0.860003067,-0.0655,12.39900822,"Sci Data 6, 143 (2019) - G1","2,6-dimethyl-n-nitrosomorpholine",CC1CN(CC(C)O1)N=O,G1,0,1
"2,6-dimethylhept-5-enal",,,140.226,25,0.049975012,0.003565673,-2.447858542,0.05,"Sci Data 6, 143 (2019) - G1","2,6-dimethylhept-5-enal",CC(CCC=C(C)C)C=O,G1,0,1
"2,6-dimethylheptan-2-ol",,,144.258,25,0.074444539,0.005164358,-2.286983634,0.0745,"Sci Data 6, 143 (2019) - G1","2,6-dimethylheptan-2-ol",CC(C)CCCC(C)(C)O,G1,0,1
"2,6-dimethylmorpholine",,,210.138,25,50,4.758777565,0.677495406,100,"Sci Data 6, 143 (2019) - G1","2,6-dimethylmorpholine",O.OC(=O)CC(O)(CC(O)=O)C(O)=O,G1,0,1
"2,6-dimethylmorpholine",,,115.176,25,50,8.682364382,0.938638008,100,"Sci Data 6, 143 (2019) - G1","2,6-dimethylmorpholine",CC1CNCC(C)O1,G1,0,1
"2,6-dimethyloct-7-en-2-ol",,,156.269,25,0.093811911,0.006008869,-2.221207241,0.0939,"Sci Data 6, 143 (2019) - G1","2,6-dimethyloct-7-en-2-ol",CC(CCCC(C)(C)O)C=C,G1,0,1
"2,6-dimethyloctan-2-ol",,,158.285,25,0.028182055,0.001780965,-2.749344685,0.02819,"Sci Data 6, 143 (2019) - G1","2,6-dimethyloctan-2-ol",CCC(C)CCCC(C)(C)O,G1,0,1
"2,6-dinitro-biphenyl-3-ol",,,260.205,25,0.004999124,0.000192132,-3.7164,0.004999374,"Sci Data 6, 143 (2019) - G1","2,6-dinitro-biphenyl-3-ol",Oc1ccc(c(c2ccccc2)c1[N+]([O-])=O)[N+]([O-])=O,G1,0,1
"2,6-lutidine",,,107.156,25,23.07264132,2.79898132,0.447,29.99276423,"Sci Data 6, 143 (2019) - G1","2,6-lutidine",Cc1cccc(C)n1,G1,0,1
"2,6-piperidinedicarboxamide",,,171.2,25,24.99676278,1.946704353,0.2893,33.32757852,"Sci Data 6, 143 (2019) - G1","2,6-piperidinedicarboxamide",NC(=O)C1CCCC(N1)C(N)=O,G1,0,1
"2,6-pyridinedicarboxylic acid",,,167.12,25,0.497465047,0.029915757,-1.5241,0.499952135,"Sci Data 6, 143 (2019) - G1","2,6-pyridinedicarboxylic acid",OC(=O)c1cccc(n1)C(O)=O,G1,0,1
"2,7-dichlorodibenzo-p-dioxin",,,253.084,25,3.75029E-07,1.48184E-08,-7.8292,3.75029E-07,"Sci Data 6, 143 (2019) - G1","2,7-dichlorodibenzo-p-dioxin",Clc1ccc2Oc3cc(Cl)ccc3Oc2c1,G1,0,1
"2,7-dichloronaphthalene",,,197.064,25,2.35997E-05,1.19757E-06,-5.9217,2.35997E-05,"Sci Data 6, 143 (2019) - G1","2,7-dichloronaphthalene",Clc1ccc2ccc(Cl)cc2c1,G1,0,1
"2,7-naphthalenedisulfonic acid, 1-amino-",,,303.317,25,14.30964032,0.550554098,-0.2592,16.69924175,"Sci Data 6, 143 (2019) - G1","2,7-naphthalenedisulfonic acid, 1-amino-",Nc1ccc(c2cc(ccc12)[S](O)(=O)=O)[S](O)(=O)=O,G1,0,1
"2,8-Dihydroxyadenine",,,167.128,25,0.005794608,0.000346737,-3.46,0.005794944,"Sci Data 6, 143 (2019) - G1","2,8-Dihydroxyadenine",NC1=C2NC(=O)N=C2NC(=O)N1,G1,0,1
"2,8-dichlorodibenzo-p-dioxin",,,253.084,25,1.6698E-06,6.59781E-08,-7.1806,1.6698E-06,"Sci Data 6, 143 (2019) - G1","2,8-dichlorodibenzo-p-dioxin",Clc1ccc2Oc3ccc(Cl)cc3Oc2c1,G1,0,1
"2,8-dichlorodibenzofuran",,,237.085,25,1.45012E-06,6.11646E-08,-7.2135,1.45012E-06,"Sci Data 6, 143 (2019) - G1","2,8-dichlorodibenzofuran",Clc1ccc2oc3ccc(Cl)cc3c2c1,G1,0,1
"2,9-Bis(2-phenylethyl)anthra(2,1,9-def:6,5,10-d'e'",,,598.658,25,2E-07,3.34081E-09,-8.476148795,2E-07,"Sci Data 6, 143 (2019) - G1","2,9-Bis(2-phenylethyl)anthra(2,1,9-def:6,5,10-d'e'f')diisoquinoline-1,3,8,10(2H,9H)-tetrone",O=C1N(CCc2ccccc2)C(=O)c3ccc4c5ccc6C(=O)N(CCc7ccccc7)C(=O)c8ccc(c9ccc1c3c49)c5c68,G1,0,1
"2,9-dichloro-5,7,12,14-tetrahydro-5,12-diazapentac",,,381.218,25,1.45E-06,3.8036E-08,-7.419805396,1.45E-06,"Sci Data 6, 143 (2019) - G1","2,9-dichloro-5,7,12,14-tetrahydro-5,12-diazapentacene-7,14-dione",Clc1ccc2Nc3cc4C(=O)c5cc(Cl)ccc5Nc4cc3C(=O)c2c1,G1,0,1
"2,9-dimethyl-5,7,12,14-tetrahydro-5,12-diazapentac",,,340.382,25,5.6E-07,1.64521E-08,-7.783778559,5.6E-07,"Sci Data 6, 143 (2019) - G1","2,9-dimethyl-5,7,12,14-tetrahydro-5,12-diazapentacene-7,14-dione",Cc1ccc2Nc3cc4C(=O)c5cc(C)ccc5Nc4cc3C(=O)c2c1,G1,0,1
"2-(1,1-dioxothiazinan-2-yl)acetic acid",,,193.224,25,4.731619894,0.257039578,-0.59,4.966621547,"Sci Data 6, 143 (2019) - G1","2-(1,1-dioxothiazinan-2-yl)acetic acid",O=C(O)CN1CCCCS1(=O)=O,G1,0,1
"2-(1,3-benzothiazol-2-ylsulfanyl)acetic acid",,,225.294,25,0.013298231,0.00059034,-3.228897985,0.0133,"Sci Data 6, 143 (2019) - G1","2-(1,3-benzothiazol-2-ylsulfanyl)acetic acid",OC(=O)CSc1sc2ccccc2n1,G1,0,1
"2-(1,3-dioxoisoindol-2-yl)-2-methylbutanoic acid",,,247.25,25,0.303261481,0.012302688,-1.91,0.304183954,"Sci Data 6, 143 (2019) - G1","2-(1,3-dioxoisoindol-2-yl)-2-methylbutanoic acid",CCC(C)(C(=O)O)N1C(=O)C2=C(C=CC=C2)C1=O,G1,0,1
"2-(1,5-dimethylpyrazol-3-yl)oxy-4,6-dimethylpyrimi",,,218.26,25,0.654818527,0.030199517,-1.52,0.659134662,"Sci Data 6, 143 (2019) - G1","2-(1,5-dimethylpyrazol-3-yl)oxy-4,6-dimethylpyrimidine",CC1=CC(C)=NC(OC2=NN(C)C(C)=C2)=N1,G1,0,1
"2-(1,5-dimethylpyrazol-3-yl)oxypyridine",,,189.218,25,1.942860715,0.104712855,-0.98,1.981355696,"Sci Data 6, 143 (2019) - G1","2-(1,5-dimethylpyrazol-3-yl)oxypyridine",CC1=CC(OC2=CC=CC=N2)=NN1C,G1,0,1
"2-(1-amino-9,10-dioxo-9,10-dihydroanthracen-2-yl)-",,,470.44,25,0.00015,3.1885E-06,-5.496412982,0.00015,"Sci Data 6, 143 (2019) - G1","2-(1-amino-9,10-dioxo-9,10-dihydroanthracen-2-yl)-5H,10H-anthra[2,3-d][1,3]oxazole-5,10-dione",Nc1c(ccc2C(=O)c3ccccc3C(=O)c12)c4oc5cc6C(=O)c7ccccc7C(=O)c6cc5n4,G1,0,1
2-(1-hydroxy-1-oxobutan-2-yl)sulfanylbutanoic acid,,,206.263,25,3.86631231,0.19498446,-0.71,4.021807967,"Sci Data 6, 143 (2019) - G1",2-(1-hydroxy-1-oxobutan-2-yl)sulfanylbutanoic acid,CCC(SC(CC)C(=O)O)C(=O)O,G1,0,1
2-(1-hydroxy-1-oxopropan-2-yl)disulfanylpropanoic ,,,210.276,25,4.801951325,0.239883292,-0.62,5.044169909,"Sci Data 6, 143 (2019) - G1",2-(1-hydroxy-1-oxopropan-2-yl)disulfanylpropanoic acid,CC(SSC(C)C(=O)O)C(=O)O,G1,0,1
2-(1-hydroxy-1-oxopropan-2-yl)sulfanylcarbothioyls,,,254.354,25,0.979855707,0.038904514,-1.41,0.989551888,"Sci Data 6, 143 (2019) - G1",2-(1-hydroxy-1-oxopropan-2-yl)sulfanylcarbothioylsulfanylpropanoic acid,CC(SC(=S)SC(C)C(=O)O)C(=O)O,G1,0,1
2-(1-phenylethylamino)ethyl 4-ethoxybenzoate,,,313.397,25,1.003951412,0.032359366,-1.49,1.014132813,"Sci Data 6, 143 (2019) - G1",2-(1-phenylethylamino)ethyl 4-ethoxybenzoate,CCOC1=CC=C(C(=O)OCCNC(C)C2=CC=CC=C2)C=C1,G1,0,1
2-(1h)-quinolinone,,,145.161,25,0.105194457,0.007254375,-2.1394,0.105305233,"Sci Data 6, 143 (2019) - G1",2-(1h)-quinolinone,O=C1Nc2ccccc2C=C1,G1,0,1
"2-(2,4,5-trichlorophenoxy)ethanethioic S-acid",,,271.552,25,0.029766222,0.001096478,-2.96,0.029775085,"Sci Data 6, 143 (2019) - G1","2-(2,4,5-trichlorophenoxy)ethanethioic S-acid",OC(=S)COC1=C(Cl)C=C(Cl)C(Cl)=C1,G1,0,1
"2-(2,4-diaminophenoxy)ethan-1-ol dihydrochloride",,,241.118,25,29.8245614,1.76262245,0.246159297,42.5,"Sci Data 6, 143 (2019) - G1","2-(2,4-diaminophenoxy)ethan-1-ol dihydrochloride",[H+].[H+].[Cl-].[Cl-].Nc1ccc(OCCO)c(N)c1,G1,0,1
"2-(2,4-dichlorophenoxy)ethanethioic S-acid",,,237.107,25,0.048387611,0.002041738,-2.69,0.048411036,"Sci Data 6, 143 (2019) - G1","2-(2,4-dichlorophenoxy)ethanethioic S-acid",OC(=S)COC1=C(Cl)C=C(Cl)C=C1,G1,0,1
"2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chrome",,,302.238,25,0.024993752,0.000827163,-3.082409058,0.025,"Sci Data 6, 143 (2019) - G1","2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one",Oc1ccc(c(O)c1)C2=C(O)C(=O)c3c(O)cc(O)cc3O2,G1,0,1
"2-(2-amino-1,3-thiazol-4-yl)acetic acid",,,158.182,25,0.164728198,0.010431022,-1.981673118,0.165,"Sci Data 6, 143 (2019) - G1","2-(2-amino-1,3-thiazol-4-yl)acetic acid",Nc1scc(CC(O)=O)n1,G1,0,1
2-(2-chlorophenoxy)-3-oxobutanoic acid,,,228.631,25,0.181278842,0.007943282,-2.1,0.181608059,"Sci Data 6, 143 (2019) - G1",2-(2-chlorophenoxy)-3-oxobutanoic acid,CC(=O)C(OC1=C(Cl)C=CC=C1)C(=O)O,G1,0,1
2-(2-chlorophenoxy)propanoic acid,,,200.621,25,0.119854834,0.005981361,-2.2232,0.119998658,"Sci Data 6, 143 (2019) - G1",2-(2-chlorophenoxy)propanoic acid,CC(Oc1ccccc1Cl)C(O)=O,G1,0,1
2-(2-cyanoethylamino)-3-methylbutanoic acid,,,170.212,25,1.274730864,0.075857758,-1.12,1.291190062,"Sci Data 6, 143 (2019) - G1",2-(2-cyanoethylamino)-3-methylbutanoic acid,CC(C)C(NCCC#N)C(=O)O,G1,0,1
2-(2-cyanoethylamino)-3-methylpentanoic acid,,,184.239,25,1.892704743,0.104712855,-0.98,1.929219166,"Sci Data 6, 143 (2019) - G1",2-(2-cyanoethylamino)-3-methylpentanoic acid,CCC(C)C(NCCC#N)C(=O)O,G1,0,1
2-(2-cyanoethylamino)-3-phenylpropanoic acid,,,218.256,25,0.701309485,0.032359366,-1.49,0.706262572,"Sci Data 6, 143 (2019) - G1",2-(2-cyanoethylamino)-3-phenylpropanoic acid,N#CCCNC(CC1=CC=CC=C1)C(=O)O,G1,0,1
2-(2-ethoxyethoxy)ethyl acetate,,,176.212,25,50,5.674982408,0.75396452,100,"Sci Data 6, 143 (2019) - G1",2-(2-ethoxyethoxy)ethyl acetate,CCOCCOCCOC(C)=O,G1,0,1
2-(2-ethoxyethoxy)ethyl prop-2-enoate,,,188.223,25,11.03202847,0.658793027,-0.181251006,12.4,"Sci Data 6, 143 (2019) - G1",2-(2-ethoxyethoxy)ethyl prop-2-enoate,CCOCCOCCOC(=O)C=C,G1,0,1
2-(2-hydroxybenzoyl)-5-methoxyphenol,,,244.246,25,1.3E-06,5.3225E-08,-7.273884108,1.3E-06,"Sci Data 6, 143 (2019) - G1",2-(2-hydroxybenzoyl)-5-methoxyphenol,COc1ccc(c(O)c1)C(=O)c2ccccc2O,G1,0,1
2-(2-hydroxyethoxy)ethan-1-ol,,,106.121,25,50,9.423205586,0.974198666,99.99999999,"Sci Data 6, 143 (2019) - G1",2-(2-hydroxyethoxy)ethan-1-ol,OCCOCCO,G1,0,1
2-(2-methylbutan-2-yl)cyclohexyl acetate,,,212.333,25,0.000759994,3.57928E-05,-4.446203904,0.00076,"Sci Data 6, 143 (2019) - G1",2-(2-methylbutan-2-yl)cyclohexyl acetate,CCC(C)(C)C1CCCCC1OC(C)=O,G1,0,1
2-(2-methylbutan-2-yl)phenol,,,164.248,25,0.052971925,0.003226828,-2.49122422,0.053,"Sci Data 6, 143 (2019) - G1",2-(2-methylbutan-2-yl)phenol,CCC(C)(C)c1ccccc1O,G1,0,1
2-(2-methylphenoxymethyl)oxirane,,,164.204,25,0.083929499,0.005115588,-2.291104446,0.084,"Sci Data 6, 143 (2019) - G1",2-(2-methylphenoxymethyl)oxirane,Cc1ccccc1OCC2CO2,G1,0,1
2-(2-methylphenyl)ethanol,,,136.194,25,1.218860481,0.090598705,-1.042878011,1.2339,"Sci Data 6, 143 (2019) - G1",2-(2-methylphenyl)ethanol,Cc1ccccc1CCO,G1,0,1
2-(2-naphthyloxy)ethanol,,,188.226,25,0.036326799,0.001930658,-2.71429469,0.03634,"Sci Data 6, 143 (2019) - G1",2-(2-naphthyloxy)ethanol,OCCOc1ccc2ccccc2c1,G1,0,1
2-(2-phenoxyethoxy)ethan-1-ol,,,182.219,25,3.381642512,0.192076567,-0.716525615,3.5,"Sci Data 6, 143 (2019) - G1",2-(2-phenoxyethoxy)ethan-1-ol,OCCOCCOc1ccccc1,G1,0,1
2-(2-phenylphenoxy)ethyl prop-2-enoate,,,268.312,25,0.00299991,0.00011181,-3.951518842,0.003,"Sci Data 6, 143 (2019) - G1",2-(2-phenylphenoxy)ethyl prop-2-enoate,C=CC(=O)OCCOc1ccccc1c2ccccc2,G1,0,1
"2-(2-undecyl-4,5-dihydro-1H-imidazol-1-yl)ethanol",,,268.445,25,0.003389885,0.000126283,-3.898655621,0.00339,"Sci Data 6, 143 (2019) - G1","2-(2-undecyl-4,5-dihydro-1H-imidazol-1-yl)ethanol",CCCCCCCCCCCC1=NCCN1CCO,G1,0,1
2-(2-{2-[(2-methylprop-2-enoyl)oxy]ethoxy}ethoxy)e,,,286.324,25,0.358708649,0.012573169,-1.900555252,0.36,"Sci Data 6, 143 (2019) - G1",2-(2-{2-[(2-methylprop-2-enoyl)oxy]ethoxy}ethoxy)ethyl 2-methylprop-2-enoate,CC(=C)C(=O)OCCOCCOCCOC(=O)C(C)=C,G1,0,1
2-(2-{2-[2-(prop-2-enoyloxy)ethoxy]ethoxy}ethoxy)e,,,302.323,25,8.725812341,0.316218085,-0.500013296,9.560000001,"Sci Data 6, 143 (2019) - G1",2-(2-{2-[2-(prop-2-enoyloxy)ethoxy]ethoxy}ethoxy)ethyl prop-2-enoate,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,G1,0,1
2-(2-{[(2R)-2-ethylhexyl]oxy}ethoxy)ethyl prop-2-e,,,544.77,25,0.005519695,0.000101327,-3.994274106,0.00552,"Sci Data 6, 143 (2019) - G1",2-(2-{[(2R)-2-ethylhexyl]oxy}ethoxy)ethyl prop-2-enoate 2-(2-{[(2S)-2-ethylhexyl]oxy}ethoxy)ethyl prop-2-enoate,CCCC[C@H](CC)COCCOCCOC(=O)C=C.CCCC[C@@H](CC)COCCOCCOC(=O)C=C,G1,0,1
2-(2-{[2-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxy,,,216.664,25,0.00199996,9.23088E-05,-4.034756761,0.002,"Sci Data 6, 143 (2019) - G1",2-(2-{[2-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane; 2-(2-{[4-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane; 2-(4-{[4-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane,Oc1ccccc1.ClCC2CO2.C=O,G1,0,1
"2-(2H-1,2,3-benzotriazol-2-yl)-4,6-bis(2-methylbut",,,351.494,25,1E-07,2.845E-09,-8.545917916,1E-07,"Sci Data 6, 143 (2019) - G1","2-(2H-1,2,3-benzotriazol-2-yl)-4,6-bis(2-methylbutan-2-yl)phenol",CCC(C)(C)c1cc(n2nc3ccccc3n2)c(O)c(c1)C(C)(C)CC,G1,0,1
"2-(3,4-dihydroxyoxolan-2-yl)-2-hydroxyethyl 3-meth",,,452.629,25,1E-05,2.20931E-07,-6.655742376,1E-05,"Sci Data 6, 143 (2019) - G1","2-(3,4-dihydroxyoxolan-2-yl)-2-hydroxyethyl 3-methylheptadecanoate",CC(C)CCCCCCCCCCCCCCC(O)=O.OC[C@H](O)[C@@H](O)[C@H](O)C(O)O,G1,0,1
"2-(3,5-dibromo-4-oxopyridin-1-yl)-~{N},~{N}-diethy",,,366.053,25,0.17896415,0.004897788,-2.31,0.179285006,"Sci Data 6, 143 (2019) - G1","2-(3,5-dibromo-4-oxopyridin-1-yl)-~{N},~{N}-diethylacetamide",CCN(CC)C(=O)CN1C=C(Br)C(=O)C(Br)=C1,G1,0,1
"2-(3,5-diiodo-4-oxopyridin-1-yl)-~{N},~{N}-diethyl",,,460.053,25,0.030386164,0.000660693,-3.18,0.0303954,"Sci Data 6, 143 (2019) - G1","2-(3,5-diiodo-4-oxopyridin-1-yl)-~{N},~{N}-diethylacetamide",CCN(CC)C(=O)CN1C=C(I)C(=O)C(I)=C1,G1,0,1
"2-(3,8-dimethyl-1,2,3,4,5,6,7,8-octahydroazulen-5-",,,264.409,25,0.000250999,9.49287E-06,-5.022602512,0.000251,"Sci Data 6, 143 (2019) - G1","2-(3,8-dimethyl-1,2,3,4,5,6,7,8-octahydroazulen-5-yl)propan-2-yl acetate",CC1CCC(CC2=C1CCC2C)C(C)(C)OC(C)=O,G1,0,1
"2-(3-Methoxypropyl)-9(or 10)-methylbenzimidazo(2,1",,,425.444,25,7.2E-06,1.69235E-07,-6.771509907,7.2E-06,"Sci Data 6, 143 (2019) - G1","2-(3-Methoxypropyl)-9(or 10)-methylbenzimidazo(2,1-b)benzo(lmn)(3,8)phenanthroline-1,3,6(2H)-trione",COCCCN1C(=O)c2ccc3C(=O)n4c5ccc(C)cc5nc4c6ccc(C1=O)c2c36,G1,0,1
2-(3-acetylphenylamino)benzoic acid,,,255.273,25,0.000352374,1.38038E-05,-4.86,0.000352375,"Sci Data 6, 143 (2019) - G1",2-(3-acetylphenylamino)benzoic acid,CC(=O)C1=CC=CC(=C1)NC2=CC=CC=C2C(O)=O,G1,0,1
"2-(3-hydroxy-2,5-dioxo-1-phenylpyrrolidin-3-yl)ace",,,249.222,25,4.949277439,0.208929613,-0.68,5.206985603,"Sci Data 6, 143 (2019) - G1","2-(3-hydroxy-2,5-dioxo-1-phenylpyrrolidin-3-yl)acetic acid",O=C(O)CC1(O)CC(=O)N(C2=CC=CC=C2)C1=O,G1,0,1
2-(3-hydroxyphenyl)sulfonylphenol,,,250.275,25,0.12819184,0.005128614,-2.29,0.128356383,"Sci Data 6, 143 (2019) - G1",2-(3-hydroxyphenyl)sulfonylphenol,O=S(=O)(C1=CC(O)=CC=C1)C1=C(O)C=CC=C1,G1,0,1
"2-(4,5-diamino-1H-pyrazol-1-yl)ethan-1-ol; sulfuri",,,240.241,25,40.05514926,2.781373704,0.444259344,66.82000001,"Sci Data 6, 143 (2019) - G1","2-(4,5-diamino-1H-pyrazol-1-yl)ethan-1-ol; sulfuric acid",Nc1cnn(CCO)c1N.O[S](O)(=O)=O,G1,0,1
2-(4-Aminophenyl)-6-methyl-benzothiazole,,,240.331,25,0.005020974,0.00020893,-3.68,0.005021226,"Sci Data 6, 143 (2019) - G1",2-(4-Aminophenyl)-6-methyl-benzothiazole,N(c(c(S1)cc(c2)C)c2)=C1c(ccc(N)c3)c3,G1,0,1
"2-(4-aminophenyl)-6-methyl-1,3-benzothiazole-7-sul",,,320.395,25,0.001489978,4.65051E-05,-4.332499462,0.00149,"Sci Data 6, 143 (2019) - G1","2-(4-aminophenyl)-6-methyl-1,3-benzothiazole-7-sulfonic acid",Cc1ccc2nc(sc2c1[S](O)(=O)=O)c3ccc(N)cc3,G1,0,1
"2-(4-bromo-3-hydroxyquinolin-2-yl)-2,3-dihydro-1H-",,,368.186,25,0.000499998,1.35801E-05,-4.867097266,0.0005,"Sci Data 6, 143 (2019) - G1","2-(4-bromo-3-hydroxyquinolin-2-yl)-2,3-dihydro-1H-indene-1,3-dione",Oc1c(Br)c2ccccc2nc1C3C(=O)c4ccccc4C3=O,G1,0,1
2-(4-bromophenylsulfonylamino)-4-(4-sulfamoylpheny,,,484.357,25,0.116054309,0.002398833,-2.62,0.116189152,"Sci Data 6, 143 (2019) - G1",2-(4-bromophenylsulfonylamino)-4-(4-sulfamoylphenylamino)pyrimidine; n4-[2-(4-bromophenylsulfonylamino)pyrimidin-4-yl]sulfanilamide,N[S](=O)(=O)C1=CC=C(NC2=NC(=NC=C2)N[S](=O)(=O)C3=CC=C(Br)C=C3)C=C1,G1,0,1
